X,Y,OBJECTID,REF_NUM,DATE_REV,EVENT_DATE,TRUE_SINK,LONGDD,LATDD,COUNTY,TWNSHP,TWNSHP_D,RANGE,RANGE_D,SECTION,QTRSECT1,QTRSECT2,ACCURACY,RPT_SOURCE,RPT_NAME,OCITY,OZIP,SIZDIM,SINSHAPE,SINLNGTH,SINWIDTH,SINDEPTH,SLOPE,WATSIN,WATBLS,LIMVIS,CAVVIS,SUBRATE,PROPDAM,REPAIR_S,DRAINSTR,SOILTYPE,COMMENTS,COMMENTS_2,ACCESS_
-82.4328950652683,27.0576233903284,17,17-703,2016/11/15 00:00:00+00,1988/02/29 00:00:00+00,U,-82.4329,27.0576,SARASOTA,39,S,19,E,29,NW,SW,PARCEL,FSRI,,VENICE,34293,E,C,1,1,1,,N,,N,N,S,N,Repaired,Unknown,SAND,"SINKHOLE FILLED INITIALLY WITH STONE AND. SAND, OPENED UP AGAIN.. . . . . .",Moved to address listed on paper report,"3644 SUNSET BEACH DR. VENICE, FL."
-82.2097384172245,29.1802004207641,18,36-750,1970/01/01 00:00:00+00,2017/09/12 00:00:00+00,U,-82.209833,29.180139,MARION,15,S,21,E,16,SW,SE,PARCEL,"City of Ocala, Engineering Dept.",Sean Lanier,OCALA,,E,C,40,40,20,,U,,U,U,U,U,Unknown,Stormwater Pond,,"Sinkhole system in private DRA. Likely roadway impact (EB lane, SW 6th Place). Primary is roughly 40' in diameter and 20-25' deep.","1 PVC pipe broken within sinkhole (presumed on-site irrigation) 4 secondary holes in the DRA. 2 east of primary, 2 south of primary.",
-81.8256538175545,27.8957198611502,19,16-507,2016/02/11 00:00:00+00,1981/08/30 00:00:00+00,U,-81.8256506,27.89571469,POLK,30,S,25,E,4,SW,SW,PARCEL,FSRI,,,,E,C,15,15,15,70,N,,U,U,R,U,Unknown,Unknown,WET,END. . . . . . .,Plotting appr. 259 ft. W of given address. Moved to 150 Idlewood Ave.,"BARTOW GOLF CLUB. 150 IDLEWOOD AVE. BARTOW, FL 33830"
-81.8503220596936,27.9007541699086,20,16-026,2016/06/29 00:00:00+00,1970/01/01 00:00:00+00,U,-81.85031884,27.90074899,POLK,30,S,25,E,6,,,TWNRNG,FSRI,,,,U,U,175,175,35,,N,,U,U,U,U,Unknown,Unknown,UNKNOWN,THIS GROUP OF SINKHOLES IS LOCATED IN NORTH-CENTRAL BARTOW.  EXTENSIVE. PHOSPHATE SRTIP MINES ARE LOCATED TWO MILES WEST AND 3 MILES NORTH. THE PEACE RIVER IS ONE AND 1/2 MILES EAST. END. . . .,"Lat/Long does not match TRS, description information is not enough to validate moving, kept at TRS location",. ROAD-UNKNOWN.
-82.0015181397948,29.1042925593167,21,36-149,2016/09/12 00:00:00+00,2002/10/23 00:00:00+00,U,-82.0015,29.1043,MARION,16,S,23,E,15,NW,NW,PARCEL,,,SILVER SPRINGS,,E,C,2,2,8,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,SWP021023-5752. END. . . . . .,,. .
-82.5799167204433,28.4877455076971,22,08-145,2015/11/09 00:00:00+00,1999/06/19 00:00:00+00,U,-82.57991327,28.48774021,HERNANDO,23,S,17,E,14,SE,NW,QTR3,HERNANDO CO. EMERGENCY MANAGEMENT,DAVID A. CASTO,,,E,C,6,6,15,80,N,,N,N,R,N,Repaired,Unknown,ORANGE CLAYEY SAND,MANHOLE IN SH. ROAD DAMAGED - REPAIRED 6/21/99. END. . . . .,"Needs to be plotted on the road, in front of the lift station. Moved appr. 70 ft. west to the proper location.",. .
-82.2898021396719,28.761776763536,23,02-869,2017/11/07 00:00:00+00,2017/08/20 00:00:00+00,U,-82.419397,29.073694,MARION,20,S,20,E,10,NE,SE,PARCEL,Citrus County SO ,,,,U,U,10,15,0,,U,,U,U,U,U,Unknown,Unknown,,"A potential sinkhole approximately 10' X 15' in size was reported inside a mobile home park in Floral City. The hole is underneath the porch area of a mobile home, which has caused the residents of that mobile home to evacuate the property.",,
-81.8503220596936,27.9007541699086,24,16-028,2016/06/29 00:00:00+00,1970/01/01 00:00:00+00,U,-81.85031884,27.90074899,POLK,30,S,25,E,6,,,TWNRNG,FSRI,,,,U,U,50,50,40,,N,,U,U,U,U,Unknown,Unknown,UNKOWN,SAME AS 16-26. END. . . . . .,"Lat/Long does not match TRS, description information is not enough to validate moving, kept at TRS location",. ROAD-UNKNOWN.
-82.7357062095896,28.1448683313861,25,15-532,2016/05/16 00:00:00+00,1989/07/20 00:00:00+00,U,-82.7357,28.1449,PINELLAS,27,S,18,E,18,SE,SE,PARCEL,,,TARPON SPRINGS,34689,E,E,6.5,5.5,1,,N,,N,N,S,N,Not Repaired,Unknown,UNK,"Plotting on the wrong property. Point moved ~4,600' east to the correct address. Reported location 15-20' from house, sloped backyard,  storage shed on edge, starting toward barn and back porch.", Ancient sinks on site. Two blocks away the same things happening in a straight line from his house. Most activity during water shortages. Dubious sinkhole. Insufficient data.,"1205 E LEMMON ST. TARPON SPRINGS, FL 34689."
-84.2402777797291,30.5597222200858,26,55-513,2016/03/17 00:00:00+00,1984/05/11 00:00:00+00,U,-84.24027377,30.55971649,LEON,2,N,1,E,21,SW,NE,QTR3,FSRI,,,,M,C,22,19,1.5,90,N,,N,N,R,U,Unknown,Unknown,CLEAN SOIL,NO COMMENTS. END. . . . . .,,. .
-82.5088634191049,28.0534443008444,27,10-511,2016/03/24 00:00:00+00,1984/05/19 00:00:00+00,U,-82.50886,28.0534391,HILLSBOROUGH,28,S,18,E,16,NE,NW,QTR2,Florida Sinkhole Research Institute,,TAMPA,,E,C,12,12,6,90,N,,N,N,S,U,Unknown,Unknown,DRY CLEAN SOIL,"HAD SINKHOLE AT SAME LOCATION APPROXIMATELY 4.5 YEARS. AGO (APPROX. 1,80).. END. . . . .",Unable to verify exact location.,". NORTH GRADY LANE, NORTH OF HUDSON LANE. TAMPA, FL"
-82.5837911536632,28.8820975008641,28,02-668,2015/08/20 00:00:00+00,1988/08/16 00:00:00+00,U,-82.58378768,28.88209211,CITRUS,18,S,17,E,27,NW,SW,GPSSA,,,LECANTO,33549,M,C,1.5,1.5,3,90,Y,3,Y,N,R,Y,Repaired,Unknown,ROCKY AND SANDY,OPENED IN ROADWAY AND CAR FELL IN.. . . . . . .,,150 feet west of INTERSECTION OF US 19 AND 44 IN CRYSTAL RIVER. .
-82.0054999997623,29.0994999996765,29,36-197,2016/02/01 00:00:00+00,2001/03/22 00:00:00+00,U,-82.00549669,29.09949454,MARION,16,S,23,E,16,SE,NE,PARCEL,,,SILVER SPRINGS,,E,C,5,4,8,90,N,,N,N,R,N,Not Repaired,Unknown,ORANGE SAND,SH OPENED 8 FT FROM NE CORNER OF HOME. SH SLOPED DEEPER TO EAST. INSURANCE CO. NOTIFIED. NO DAMAGE TO HOME. END. . .,,. .
-81.8983465478354,28.009325377028,30,16-091,2016/07/11 00:00:00+00,2000/04/15 00:00:00+00,U,-81.8983,28.0093,POLK,28,S,24,E,34,NW,NE,PARCEL,FSRI,,EATON PARK,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,SINKHOLE AT 3029 FLETCHER AVENUE. END. . . . . .,Moved onto property at 3029 Fletcher Avenue,"3029 FLETCHER AVENUE. EATON PARK, FL."
-82.5833584561814,28.4935512999279,31,08-525,2015/11/12 00:00:00+00,1987/03/30 00:00:00+00,U,-82.583355,28.493546,HERNANDO,23,S,17,E,11,SW,SW,QTR3,FSRI,,SPRING HILL,,M,E,4.5,3,4,90,N,,N,N,R,N,Unknown,Unknown,"SOD, GREY & YELLOW SAND",SINK OCCURRED AFTER HEAVY RAINS ON AN EMPTY LOT.. . . . . . .,Plotting appr. 0.4 miles NE of given intersection. Moved to 65' N and 14' W of Belmont Rd./Bayridge Ct. intersection.,"65' N AND 14' W OF CENTER OF BAYRIDGE CT AND    MONT ROAD. BELMONT CT.INTERSECTION, SPRING HILL, FL."
-82.5378326600354,28.86994974847,32,02-754,2015/09/07 00:00:00+00,1990/02/12 00:00:00+00,U,-82.5378292,28.86994436,CITRUS,18,S,17,E,36,SE,NE,PARCEL,,,CRYSTAL RIVER,32629,M,E,5.5,2,3.5,90,N,,Y,N,R,N,Planned,Unknown,WHITE SAND,TOTAL OF SEVEN SINKHOLES THIS SITE (02-748 THRU 02-754). AND 02-756 ACROSS THE STREET.. . . . . .,,"6200 W. WOODSIDE CIRCLE. CRYSTAL RIVER, FL."
-82.2212830003179,27.970482999826,33,10-982,2015/11/12 00:00:00+00,2010/01/15 00:00:00+00,U,-82.22127967,27.97047782,HILLSBOROUGH,29,S,21,E,8,SE,SE,PARCEL,Sinkhole Calls to SWFWMD,Ray Gagne,,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,,"Has a 22'dia by 9"" deep circular depression in back yard that is continuing to deepen.  His well was dry from 01-10-2010 until 01-14-2010.","Parcel located from google maps and EM website, cannot locate from property appraiser ",
-82.4959964804718,29.6829638503327,34,26-522,2015/03/17 00:00:00+00,2012/06/25 00:00:00+00,U,-82.49599301,29.68295827,ALACHUA,9,S,18,E,27,NE,NE,PARCEL,"Lucinda, Alachua Co. SO",,Gainesville,,E,C,30,30,,,U,,N,U,U,Y,Repaired,Unknown,UNKNOWN,"Sinkhole 30X30 closed road; SWO# 2012-4325",No paper report. ,
-82.1638030995531,28.017000199561,35,10-969,2015/11/20 00:00:00+00,2010/01/14 00:00:00+00,U,-82.16379978,28.016995,HILLSBOROUGH,28,S,21,E,25,NE,SW,PARCEL,Rick Green verified,,,,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,,,,
-82.4605204376087,28.4419098507947,36,08-077,2016/08/22 00:00:00+00,1999/10/01 00:00:00+00,U,-82.4605,28.4419,HERNANDO,23,S,18,E,36,SW,NE,PARCEL,,,MASARYKTOWN,34609,E,C,10,10,10,,N,,N,N,U,N,Planned,Unknown,SAND,SINKHOLE HAS BEEN TAPED OFF BY FIRE DEPT. MET MRS. BLAHA ABOUT SINKHOLE ON NEIGHBORING PROPERTY THAT SHE OVERSEES. RECOMMEND THE HOLE TO BE FILLED IN AND COMPACTED WITH CLAY. THE OTHER SMALL AREAS APPEAR TO BE SETTLING AREAS. END. . .,Missing paper record. Moved to location listed under owner's address,. .
-82.5977269996747,28.4320000003611,37,14-598,2016/03/02 00:00:00+00,1988/04/10 00:00:00+00,U,-82.59772354,28.43199472,PASCO,24,S,17,E,3,NW,NW,QTR2,FSRI,,TAMPA,33615,E,C,25,25,15,90,Y,5,N,N,R,N,Planned,Unknown,SAND AND CLAY,. . . . . . .,,"EAST LAKE LANDINGS TRAILER PARK, OFF LANDINGS. BLVD. WHICH IS SOUTH OF 578 (COUNTY LINE RD). ON PASCO/HERNANDO COUNTY LINE."
-81.4303323546538,28.4710941115062,38,75-591,2014/07/11 00:00:00+00,1970/01/01 00:00:00+00,U,-81.43032923,28.47108879,ORANGE,23,S,29,E,20,NW,SE,PARCEL,,,ORLANDO,32809,E,C,3,3,,,U,,U,U,R,N,Repaired,Unknown,UNKNOWN,SINKHOLE 20 FEET BEHIND HOUSE AND 4 FEET FROM PUMP HOUSE. . . . . . .,,"6000 BROOKGREEN AVE. ORLANDO, FL."
-84.4387499994861,30.4383300004367,39,55-730,2015/10/28 00:00:00+00,2013/04/26 00:00:00+00,U,-84.43874594,30.4383243,LEON,1,N,2,W,33,NE,SW,GPSSA,Leon County,,Tallahassee,32309,E,E,2,4,3.5,,U,,U,U,U,N,Unknown,Unknown,,"SWO#2013-2489; subsidence located directly in front of home, has developed over the past two months; no damage reported",,
-83.5587706377491,30.0039503563835,40,38-009,2015/10/20 00:00:00+00,1972/07/17 00:00:00+00,U,-83.55876685,30.00394473,TAYLOR,5,S,8,E,31,NW,SE,SECTION,,,,,U,U,25,25,20,90,Y,18,U,U,U,U,Unknown,Unknown,SAND,SURROUNDED BY MANY SMALL LAKES. END. . . . . .,"Moved to roadway within section, accurate to road",". ROAD-361, ROADWAY."
-81.783220275289,28.5198400875587,41,11-048,2016/01/15 00:00:00+00,2002/05/08 00:00:00+00,U,-81.78321705,28.51983476,LAKE,23,S,25,E,2,NE,NW,PARCEL,,,CLERMONT,,E,E,6,5,5,,N,,U,U,U,U,Unknown,Unknown,UNKNOWN,END. . . . . . .,,CR 561 @ BRONSON ROAD. .
-82.1988785195808,29.3678207454942,42,36-227,2016/02/02 00:00:00+00,1997/11/23 00:00:00+00,U,-82.19887514,29.36781523,MARION,13,S,21,E,10,SW,SW,PARCEL,,,,,E,E,4,5,,90,N,,Y,N,U,N,Repaired,Unknown,LIME/CLAY,SH'S IN RETENTION POND. FOR RUN OFF FROM ELEM SCHOOL. END. . . . .,,. .
-82.3686802710367,27.9409700867907,43,10-696,2015/12/15 00:00:00+00,1989/01/25 00:00:00+00,U,-82.3686769,27.94096491,HILLSBOROUGH,29,S,19,E,24,SW,SW,QTR3,FSRI,,,,E,E,15,10,6,,Y,,N,N,R,N,Planned,Unknown,UNKNOWN,"DRAINAGE: NEAR SMALL CREEK, TAMPA BYPASS CANAL.. LOCATED NEAR 10-811,10-690. AT PALM RIVER AND 78 TH STREET.. . . . .",Plotting appr. 130 ft. S of intersection. Moved directily to 78th and Palm River.,"BETWEEN SR41 & SR301, SOUTH OF SR60 AT PALM     R &. RIVER & 78TH ST. NEAR BY PASS CANAL IN MOBLE    ENEATH DRIVE. HOME PARK"
-82.6125185809434,28.9125060269269,44,02-541,2015/07/14 00:00:00+00,1983/07/14 00:00:00+00,U,-82.6125151,28.91250063,CITRUS,18,S,17,E,17,SE,NW,SECTION,,,,,E,E,3,6,7,,Y,37,N,Y,S,U,Unknown,Unknown,UNKOWN,"NEAR-540,516,505,539,529,530,545, 543. LINE-543,4. LINE-513,537,504,522. END. . . .","Left in listed lat/long location, There is not a State Park Road but there is a State Park Street .6 miles North, Historical imagery shows road nearby","STATE PARK RD., OFF HWY 19 N. CRYSTAL RIVER, FL."
-82.0538357675095,29.1583325972196,45,36-236,2016/02/03 00:00:00+00,2002/03/05 00:00:00+00,U,-82.05383244,29.15832712,MARION,15,S,23,E,30,SE,NE,PARCEL,,,,,U,U,6,6,6,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,. . . . .,In location of reported lat/long,"575 FEET SOUTH OF BANYON ROAD, 25 FEET LEFT EOP. END . . . . . ."
-82.5278320484286,28.4632914002137,46,08-084,2016/08/22 00:00:00+00,2000/03/10 00:00:00+00,U,-82.5278,28.4633,HERNANDO,23,S,18,E,20,SE,SW,PARCEL,,,SPRING HILL,34609,U,U,,,,,U,,U,U,U,U,Unknown,Unknown,UNKNOWN,THIS DOES NOT APPEAR TO BE A SINKHOLE. IT APPEARS THAT THE DRIVEWAY AND SIDEWALK IS SETTLING. END. . . . .,Missing paper record. Moved to location listed under owner's address,. .
-81.4846540000909,28.6958899999429,47,75-622,2015/11/02 00:00:00+00,2012/07/22 00:00:00+00,U,-81.48465086,28.69588462,ORANGE,21,S,28,E,2,NE,NW,GPSSA,Brian Dickerman,,Apopka,32712,E,E,2,1.5,2,90,N,,N,N,R,N,Planned,Unknown,sand,"2' long x 1.5' wide, 2' deep; subsidence feature located in backyard one foot from home; reporter states the subsidence is close to his septic tank",,
-82.1732033617914,29.2035354805203,48,36-523,2016/02/15 00:00:00+00,1982/04/09 00:00:00+00,U,-82.1732,29.20353,MARION,15,S,21,E,11,SW,NE,QTR3,,,,,E,C,8,15,10,,U,,U,U,R,Y,Planned,Unknown,UNKNOWN,,Moved point to property where Golden Holiday Mobile Park used to be located,. US 27 East of  I-75. GOLDEN HOLIDAY MOBILE PARK
-81.3963588364897,28.6392709533528,49,75-606,2014/07/14 00:00:00+00,1986/12/03 00:00:00+00,U,-81.39635572,28.63926559,ORANGE,21,S,29,E,27,NE,NE,PARCEL,FSRI,,MAITLAND,,E,C,10,10,3,,U,,N,U,U,U,Unknown,Unknown,SAND,. . . . . . .,Moved to 1060 Maitland Center Commons,MAITLAND CENTER (PARAGON). 1060 MAITLAND CENTER COMM.
-82.6308855606465,28.7904410246465,50,02-575,2015/07/22 00:00:00+00,1984/09/29 00:00:00+00,U,-82.63088208,28.79043566,CITRUS,19,S,17,E,30,SW,SW,QTR1,,,HOMOSASSA,,E,E,10,5,5,30,Y,4,N,Y,R,N,Planned,Unknown,"SAND,LIMEROCK",NO COMMENTS. END. . . . . .,"Located on Riverhaven Drive, there is not a 16 Riverhaven ","16 RIVERHAVEN DRIVE, LOT 11. HOMOSASSA, FL."
-83.0034339737072,30.3048701203039,51,37-028,2016/02/17 00:00:00+00,1973/12/10 00:00:00+00,U,-83.00343033,30.30486441,SUWANNEE,2,S,13,E,15,SW,SE,SECTION,,,,,U,U,38,38,9,,N,,U,U,U,U,Unknown,Unknown,UNKNOWN,NEAR LOCATION OF 37-11  +37-19. END. . . . . .,,. ROAD 10.
-82.6709070341876,28.3911143031823,52,14-662,2016/03/03 00:00:00+00,1990/05/29 00:00:00+00,U,-82.67090356,28.39110903,PASCO,24,S,16,E,14,SW,SE,PARCEL,FSRI,,HUDSON,34667,M,C,1,1,3,90,Y,4,N,N,R,Y,Planned,Unknown,SANDY,. . . . . . .,Plotting appr. 159.3 ft. SW from the SW corner of the given address. Moved to 16105 Frost Dr.,"16105 FROST DR. VIVA VILLA SUBDIVISION. HUDSON, FL 34667"
-85.1486570606088,30.8909780035111,53,53-524,2017/06/23 00:00:00+00,2016/12/08 00:00:00+00,Y,-85.148558,30.891019,JACKSON,6,N,9,W,29,NE,SE,GPS,NWFWMD & Jackson Co EM,,,,E,E,15,10,12,75,N,,Y,Y,R,Y,Unknown,Culvert,reddish orange clayey sand,observer noted the sinkhole likely took water from a nearby culvert and plugged itself,,
-81.8174300601371,28.0787019688277,54,16-520,2016/02/17 00:00:00+00,1983/06/14 00:00:00+00,U,-81.81742684,28.07869675,POLK,28,S,25,E,4,SW,NE,TWNRNG,FSRI,,AUBURNDALE,33823,U,U,,,,,U,,U,U,R,Y,Repaired,Unknown,UNKNOWN,END. . . . . . .,Address cannot be found. No Section is given. Moved off of private property on to Berkley Rd.,. .
-82.5384955692782,28.8697880366098,55,02-819,2015/09/22 00:00:00+00,2011/04/02 00:00:00+00,U,-82.53849211,28.86978265,CITRUS,18,S,17,E,36,SW,NE,PARCEL,State Warning Point,Mike Story of Citrus Co,Lecanto,,E,E,3,3,10,,U,,U,U,R,Y,Repaired,Unknown,,SWP110402-1911: one of three sinkholes that formed on the road at the intersection of W. Avacado St & W. Rockcrusher Rd,,
-82.1378849461974,28.0310212542704,56,10-766,2015/12/23 00:00:00+00,1974/05/11 00:00:00+00,U,-82.13788163,28.03101605,HILLSBOROUGH,28,S,22,E,26,NW,SW,SECTION,FSRI,,,,E,C,30,30,5,,N,,N,N,U,Y,Repaired,Unknown,UNKNOWN,SAME LOCATION FILLED IN 10 TO 12 YEARS AGO.  WESTBOUND LANE.. END. . . . . .,"No property address is given, and site drawing is poor. Moved on to I4 off of private property based on the site drawing.",I-4.APPROXIMATELY ONE MILE EAST OF THE WEIGH STASTATION JUST EAST OF THE. THONOTOSASSA EXIT.                              DGE EAST OF THIS EXIT.. PLANT CITY
