SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
50,3,6,1,19,Alabama,Cherokee County,25989,25986,25976,26080,26023,26084,25995,25859,-10,104,-57,61,-89,-136,55,221,245,232,261,250,110,309,334,340,329,315,-55,-88,-89,-108,-68,-65,3,2,8,7,8,8,44,165,29,143,-2,-84,47,167,37,150,6,-76,-2,25,-5,19,-27,5,290,290,290,290,290,290,290,8.490856001,9.40444888,8.90475368,10.02323393,9.64245767,11.87183034,12.82075888,13.05007005,12.6346512,12.14949666,-3.380974335,-3.416310001,-4.145316368,-2.61141727,-2.507038994,0.076840326,0.307084045,0.268677913,0.307225561,0.308558645,6.339326879,1.113179663,5.488705932,-0.07680639,-3.239865777,6.416167205,1.420263708,5.757383845,0.230419171,-2.931307132
50,3,6,1,21,Alabama,Chilton County,43643,43631,43665,43739,43697,43795,43921,43943,34,74,-42,98,126,22,124,565,565,537,586,561,142,474,495,499,474,462,-18,91,70,38,112,99,8,24,9,17,22,22,47,-60,-116,21,20,-99,55,-36,-107,38,42,-77,-3,19,-5,22,-28,0,393,393,393,393,393,393,393,12.92847009,12.92373851,12.27540804,13.36130239,12.76973505,10.84618553,11.32256736,11.40675719,10.80760637,10.51625239,2.082284564,1.601171142,0.868650848,2.553696019,2.253482655,0.549173951,0.205864861,0.388606958,0.501618861,0.500773923,-1.372934877,-2.653369322,0.48004389,0.456017146,-2.253482655,-0.823760926,-2.44750446,0.868650848,0.957636007,-1.752708732
50,3,6,1,23,Alabama,Choctaw County,13859,13858,13841,13593,13543,13378,13289,13170,-17,-248,-50,-165,-89,-119,29,114,110,138,119,127,21,160,145,194,183,168,8,-46,-35,-56,-64,-41,1,-1,0,0,0,0,-23,-212,-10,-118,-17,-70,-22,-213,-10,-118,-17,-70,-3,11,-5,9,-8,-8,129,129,129,129,129,129,129,8.310855143,8.107311321,10.25221946,8.924888439,9.599758116,11.6643581,10.68691038,14.4125404,13.72482844,12.69889263,-3.353502953,-2.579599057,-4.160320939,-4.799940001,-3.09913451,-0.072902238,0,0,0,0,-15.45527448,-0.737028302,-8.76639055,-1.274984063,-5.291205261,-15.52817672,-0.737028302,-8.76639055,-1.274984063,-5.291205261
50,3,6,1,25,Alabama,Clarke County,25833,25840,25767,25570,25144,25116,24847,24675,-73,-197,-426,-28,-269,-172,49,259,292,269,249,247,46,299,286,291,297,313,3,-40,6,-22,-48,-66,1,3,4,4,5,5,-81,-159,-448,-8,-217,-139,-80,-156,-444,-4,-212,-134,4,-1,12,-2,-9,28,280,280,280,280,280,280,280,10.09018836,11.51555783,10.70433745,9.967375858,9.975364485,11.64851861,11.27893678,11.57978512,11.88879771,12.64084649,-1.558330249,0.236621051,-0.875447672,-1.921421852,-2.665482008,0.116874769,0.157747368,0.159172304,0.20014811,0.201930455,-6.19436274,-17.66770517,-0.318344608,-8.686427957,-5.613666653,-6.077487972,-17.5099578,-0.159172304,-8.486279847,-5.411736198
50,3,6,1,27,Alabama,Clay County,13932,13932,13880,13670,13456,13467,13538,13555,-52,-210,-214,11,71,17,27,153,147,121,164,149,39,211,183,172,176,194,-12,-58,-36,-51,-12,-45,1,-1,0,1,1,1,-36,-148,-181,66,77,53,-35,-149,-181,67,78,54,-5,-3,3,-5,5,8,255,255,255,255,255,255,255,11.10707804,10.83831011,8.98859711,12.14589891,10.99915107,15.31760436,13.49259014,12.77717936,13.03462322,14.32104234,-4.210526316,-2.654280027,-3.788582253,-0.88872431,-3.321891263,-0.072595281,0,0.074285927,0.074060359,0.073819806,-10.74410163,-13.34513013,4.902871151,5.702647658,3.91244971,-10.81669691,-13.34513013,4.977157078,5.776708017,3.986269516
50,3,6,1,29,Alabama,Cleburne County,14972,14972,14973,14971,14921,15028,15072,15018,1,-2,-50,107,44,-54,41,184,183,177,186,185,22,174,159,187,187,189,19,10,24,-10,-1,-4,0,0,0,0,0,0,-10,-55,-77,110,55,-47,-10,-55,-77,110,55,-47,-8,43,3,7,-10,-3,178,178,178,178,178,178,178,12.28960727,12.24407868,11.82009416,12.35880399,12.296444,11.62169383,10.63829787,12.48789609,12.42524917,12.56231306,0.667913438,1.605780811,-0.66780193,-0.066445183,-0.265869059,0,0,0,0,0,-3.673523911,-5.151880102,7.345821229,3.65448505,-3.123961449,-3.673523911,-5.151880102,7.345821229,3.65448505,-3.123961449
50,3,6,1,31,Alabama,Coffee County,49948,49948,50177,50448,51173,50755,50831,51211,229,271,725,-418,76,380,168,677,622,617,614,616,77,508,492,519,476,519,91,169,130,98,138,97,48,90,195,138,144,160,92,19,390,-670,-183,113,140,109,585,-532,-39,273,-2,-7,10,16,-23,10,600,600,600,600,600,600,600,13.45590062,12.24156424,12.10658504,12.08827988,12.07345995,10.09689441,9.683037955,10.18365905,9.371370071,10.172282,3.359006211,2.558526289,1.922925987,2.71690981,1.901177946,1.788819876,3.837789433,2.707793737,2.835036324,3.135963623,0.377639752,7.675578867,-13.14653481,-3.602858662,2.214774309,2.166459627,11.5133683,-10.43874107,-0.767822338,5.350737931
50,3,6,1,33,Alabama,Colbert County,54428,54428,54514,54443,54472,54471,54480,54354,86,-71,29,-1,9,-126,162,605,623,589,587,573,129,671,668,723,678,649,33,-66,-45,-134,-91,-76,9,32,22,28,38,38,45,-4,58,96,100,-6,54,28,80,124,138,32,-1,-33,-6,9,-38,-82,474,474,474,474,474,474,474,11.10529842,11.44011385,10.81299395,10.77548623,10.52979767,12.31678552,12.26644631,13.27299597,12.44596195,11.92642005,-1.2114871,-0.826332461,-2.460002019,-1.670475718,-1.396622379,0.587387685,0.403984759,0.514030273,0.697561289,0.69831119,-0.073423461,1.065050728,1.762389506,1.835687603,-0.110259662,0.513964224,1.469035486,2.276419779,2.533248892,0.588051528
50,3,6,1,35,Alabama,Conecuh County,13228,13228,13208,13121,12996,12875,12662,12672,-20,-87,-125,-121,-213,10,34,158,144,152,140,146,13,189,170,192,158,183,21,-31,-26,-40,-18,-37,0,0,0,0,0,0,-37,-64,-98,-79,-187,34,-37,-64,-98,-79,-187,34,-4,8,-1,-2,-8,13,45,45,45,45,45,45,45,12.00197501,11.02730023,11.75060879,10.96448291,11.52601247,14.35679289,13.01834054,14.84287426,12.37420214,14.44698824,-2.354817881,-1.991040319,-3.092265471,-1.409719231,-2.920975764,0,0,0,0,0,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.684139891,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.684139891
50,3,6,1,37,Alabama,Coosa County,11539,11758,11758,11348,11195,11059,10807,10724,0,-410,-153,-136,-252,-83,21,95,107,86,96,91,11,163,140,133,108,106,10,-68,-33,-47,-12,-15,-1,-1,-1,-1,-1,0,-5,-392,-116,-48,-251,-58,-6,-393,-117,-49,-252,-58,-4,51,-3,-40,12,-10,338,338,338,338,338,265,266,8.222972388,9.492968993,7.728947605,8.780755511,8.452928336,14.10888947,12.42070709,11.95290734,9.87834995,9.846268172,-5.885917078,-2.927738101,-4.223959738,-1.097594439,-1.393339836,-0.086557604,-0.088719336,-0.089871484,-0.091466203,0,-33.9305808,-10.29144302,-4.313831221,-22.95801701,-5.387580698,-34.01713841,-10.38016236,-4.403702705,-23.04948322,-5.387580698
50,3,6,1,39,Alabama,Covington County,37765,37765,37796,38060,37818,37830,37888,37835,31,264,-242,12,58,-53,102,463,412,476,441,449,92,489,479,518,490,508,10,-26,-67,-42,-49,-59,0,7,2,2,2,2,22,254,-175,28,140,-12,22,261,-173,30,142,-10,-1,29,-2,24,-35,16,575,575,575,575,575,575,575,12.20734022,10.85953768,12.58460237,11.64848517,11.85901245,12.89284961,12.62553046,13.69500846,12.9427613,13.41732367,-0.685509386,-1.765992778,-1.110406091,-1.29427613,-1.558311213,0.184560219,0.052716202,0.052876481,0.052827597,0.052824109,6.696899388,-4.612667703,0.740270728,3.6979318,-0.316944654,6.881459608,-4.559951501,0.793147208,3.750759397,-0.264120545
50,3,6,1,41,Alabama,Crenshaw County,13906,13906,13853,13896,13951,13932,13948,13963,-53,43,55,-19,16,15,37,166,149,145,131,138,24,164,167,162,173,184,13,2,-18,-17,-42,-46,9,13,16,19,23,23,-72,24,55,-26,43,48,-63,37,71,-7,66,71,-3,4,2,5,-8,-10,132,132,132,132,132,132,132,11.96439511,10.70133228,10.40060252,9.397417504,9.888574397,11.82024578,11.99411068,11.6199835,12.41032999,13.18476586,0.144149339,-1.292778396,-1.219380985,-3.012912482,-3.296191466,0.936970702,1.149136352,1.362837571,1.649928264,1.648095733,1.729792065,3.950156211,-1.864935624,3.084648494,3.439504138,2.666762766,5.099292563,-0.502098053,4.734576758,5.087599871
50,3,6,1,43,Alabama,Cullman County,80406,80410,80473,80469,80374,80756,81221,82005,63,-4,-95,382,465,784,249,996,926,952,977,960,228,910,965,961,979,964,21,86,-39,-9,-2,-4,9,30,31,38,41,41,34,-113,-82,328,412,646,43,-83,-51,366,453,687,-1,-7,-5,25,14,101,1056,1056,1052,1049,1043,1032,1032,12.37712965,11.51433385,11.81654565,12.06344111,11.7628319,11.30842167,11.9992788,11.92825669,12.08813597,11.8118437,1.068707982,-0.484944946,-0.111711041,-0.024694864,-0.0490118,0.37280511,0.38546906,0.471668839,0.506244714,0.502370946,-1.404232581,-1.019627836,4.071246819,5.087142002,7.915405634,-1.031427471,-0.634158776,4.542915658,5.593386715,8.41777658
50,3,6,1,45,Alabama,Dale County,50251,50251,50358,50109,50324,49833,49501,49565,107,-249,215,-491,-332,64,173,692,705,646,667,653,75,470,451,492,512,519,98,222,254,154,155,134,46,59,226,130,123,154,-28,-540,-265,-763,-595,-253,18,-481,-39,-633,-472,-99,-9,10,0,-12,-15,29,917,917,917,917,917,917,917,13.77566763,14.03921022,12.8997474,13.42944007,13.18313044,9.356306051,8.981111786,9.824575417,10.30865565,10.47786324,4.419361581,5.058098434,3.07517198,3.120784424,2.705267196,1.174515015,4.50051278,2.595924399,2.476493446,3.109038419,-10.74979844,-5.277149941,-15.23607936,-11.97978537,-5.107705974,-9.575283426,-0.776637161,-12.64015496,-9.503291924,-1.998667555
50,3,6,1,47,Alabama,Dallas County,43820,43820,43803,43178,42777,42021,41662,41131,-17,-625,-401,-756,-359,-531,130,583,585,511,584,572,76,544,505,555,532,530,54,39,80,-44,52,42,3,-4,-3,-2,-1,-1,-73,-680,-486,-710,-391,-608,-70,-684,-489,-712,-392,-609,-1,20,8,0,-19,36,786,786,856,856,857,856,857,13.40522643,13.6117736,12.05217104,13.9574346,13.81759328,12.50847886,11.75033448,13.08993137,12.71464933,12.80301475,0.896747566,1.861439125,-1.037760325,1.242785273,1.014578527,-0.091974109,-0.069803967,-0.047170924,-0.023899717,-0.024156632,-15.63559858,-11.30824269,-16.74567796,-9.344789264,-14.68723201,-15.72757269,-11.37804665,-16.79284889,-9.368688981,-14.71138864
50,3,6,1,49,Alabama,DeKalb County,71109,71115,71142,71387,70942,70869,71012,71130,27,245,-445,-73,143,118,232,903,869,796,839,833,151,782,710,783,755,749,81,121,159,13,84,84,22,77,46,51,66,66,-71,21,-662,-124,19,2,-49,98,-616,-73,85,68,-5,26,12,-13,-26,-34,782,782,782,782,782,782,782,12.67110553,12.2111446,11.22620953,11.82681261,11.72067369,10.97320545,9.976884542,11.04286691,10.64272172,10.53875702,1.697900077,2.234260059,0.183342618,1.184090893,1.181916675,1.080481867,0.646389703,0.719267194,0.93035713,0.928648816,0.294676873,-9.302390939,-1.74880651,0.267830083,0.028140873,1.37515874,-8.656001237,-1.029539316,1.198187213,0.956789689
50,3,6,1,51,Alabama,Elmore County,79303,79296,79465,80012,80432,80883,81022,81468,169,547,420,451,139,446,235,967,960,986,934,948,189,708,662,752,753,758,46,259,298,234,181,190,10,35,59,44,45,56,102,258,66,142,-122,168,112,293,125,186,-77,224,11,-5,-3,31,35,32,5483,5483,5484,5509,5444,5419,5413,12.12714059,11.96679215,12.22452965,11.53763009,11.66841036,8.879023307,8.252100421,9.323373524,9.301751027,9.329804911,3.248117283,3.71469173,2.901156123,2.235879065,2.338605453,0.438934768,0.735459101,0.545516536,0.555881536,0.689273186,3.23557629,0.82271696,1.760530639,-1.507056607,2.067819558,3.674511058,1.558176061,2.306047175,-0.951175072,2.757092744
50,3,6,1,53,Alabama,Escambia County,38319,38319,38309,38213,38034,37857,37784,37789,-10,-96,-179,-177,-73,5,121,486,444,440,429,438,63,440,480,447,452,446,58,46,-36,-7,-23,-8,2,2,2,2,2,2,-61,-132,-147,-183,-45,45,-59,-130,-145,-181,-43,47,-9,-12,2,11,-7,-34,3199,3199,3272,3275,3198,3281,3282,12.70222942,11.64635986,11.59557787,11.34305469,11.59144139,11.4999608,12.59065931,11.78005297,11.95119049,11.80315721,1.202268629,-0.944299448,-0.184475102,-0.608135799,-0.211715824,0.052272549,0.05246108,0.052707172,0.052881374,0.052928956,-3.449988239,-3.855889412,-4.82270625,-1.189830912,1.190901512,-3.39771569,-3.803428332,-4.769999078,-1.136949538,1.243830469
50,3,6,1,55,Alabama,Etowah County,104430,104427,104442,104236,104235,103852,103452,103057,15,-206,-1,-383,-400,-395,260,1252,1155,1145,1182,1168,288,1355,1408,1347,1444,1449,-28,-103,-253,-202,-262,-281,11,40,40,43,51,51,40,-106,215,-201,-179,-215,51,-66,255,-158,-128,-164,-8,-37,-3,-23,-10,50,2085,2085,2085,2085,2084,2085,2085,11.99934828,11.08067789,11.00501233,11.40354262,11.31185566,12.98651511,13.507874,12.94650795,13.93123143,14.03328669,-0.987166831,-2.427196109,-1.941495624,-2.527688805,-2.721431027,0.38336576,0.38374642,0.413288673,0.492031027,0.493925204,-1.015919263,2.06263701,-1.93188426,-1.726932428,-2.082233704,-0.632553503,2.44638343,-1.518595587,-1.234901401,-1.5883085
50,3,6,1,57,Alabama,Fayette County,17241,17241,17231,17062,16960,16857,16842,16759,-10,-169,-102,-103,-15,-83,42,186,164,186,198,186,39,256,255,237,210,229,3,-70,-91,-51,-12,-43,0,-2,-1,-1,-1,-1,-10,-86,-11,-63,5,-47,-10,-88,-12,-64,4,-48,-3,-11,1,12,-7,8,291,291,291,291,291,291,291,10.84769487,9.640820646,11.00038442,11.75109054,11.07109907,14.93016067,14.99030039,14.01661886,12.46327784,13.63054671,-4.082465809,-5.349479748,-3.016234438,-0.712187305,-2.559447635,-0.11664188,-0.058785492,-0.059141852,-0.059348942,-0.059522038,-5.015600851,-0.646640409,-3.725936659,0.296744711,-2.797535788,-5.132242732,-0.705425901,-3.785078511,0.237395768,-2.857057826
50,3,6,1,59,Alabama,Franklin County,31704,31709,31734,31729,31648,31507,31592,31696,25,-5,-81,-141,85,104,120,419,406,432,429,434,66,418,381,409,375,366,54,1,25,23,54,68,6,54,63,74,89,90,-30,-52,-173,-254,-40,-76,-24,2,-110,-180,49,14,-5,-8,4,16,-18,22,272,272,272,272,272,272,272,13.20454438,12.81221894,13.68062703,13.59767984,13.71508027,13.17302995,12.02328921,12.95226031,11.88608377,11.56617368,0.031514426,0.788929738,0.728366717,1.711596063,2.148906586,1.701778989,1.98810294,2.343440741,2.820963882,2.844141069,-1.638750138,-5.459393786,-8.043702003,-1.267848936,-2.401719125,0.063028852,-3.471290847,-5.700261262,1.553114946,0.442421944
50,3,6,1,61,Alabama,Geneva County,26790,26790,26795,26832,27006,26752,26707,26777,5,37,174,-254,-45,70,74,320,306,326,287,299,117,332,349,361,329,342,-43,-12,-43,-35,-42,-43,-1,-4,-2,-2,-2,-2,51,33,217,-191,10,84,50,29,215,-193,8,82,-2,20,2,-26,-11,31,229,229,229,229,229,229,229,11.93428683,11.36743564,12.1284274,10.73720047,11.18091392,12.38182259,12.96482039,13.43055917,12.3084981,12.78887144,-0.447535756,-1.597384747,-1.302131776,-1.57129763,-1.60795752,-0.149178585,-0.074296965,-0.07440753,-0.074823697,-0.074788722,1.23072333,8.061220699,-7.105919119,0.374118483,3.141126318,1.081544744,7.986923734,-7.180326649,0.299294787,3.066337596
